Age,Income,Previous_Purchases,Email_Opened,Website_Visits,Response
35,50000,5,Yes,15,1
42,75000,12,Yes,25,1
28,35000,2,No,5,0
55,120000,20,Yes,40,1
31,55000,8,Yes,18,1
48,85000,15,Yes,35,1
26,30000,1,No,2,0
62,95000,25,Yes,45,1
29,45000,4,No,8,0
38,65000,10,Yes,22,1
45,80000,14,Yes,32,1
33,60000,7,Yes,20,1
51,100000,18,Yes,38,1
24,28000,0,No,1,0
40,70000,11,Yes,28,1
36,58000,6,Yes,17,1
53,110000,22,Yes,42,1
27,32000,3,No,4,0
44,78000,13,Yes,30,1
30,48000,5,No,10,0
50,92000,16,Yes,36,1
25,25000,0,No,0,0
41,72000,9,Yes,26,1
37,62000,8,Yes,19,1
54,105000,21,Yes,41,1
28,40000,3,No,6,0
46,82000,14,Yes,31,1
32,52000,6,No,12,0
58,115000,24,Yes,44,1
26,33000,2,No,3,0
43,76000,12,Yes,29,1
35,61000,7,Yes,21,1
49,88000,17,Yes,37,1
22,22000,0,No,0,0
39,68000,10,No,25,0
47,84000,15,Yes,33,1
30,50000,5,Yes,16,1
56,108000,23,Yes,43,1
25,31000,1,No,2,0
42,74000,11,Yes,27,1
